mre,0.48772751226643435
re_bound,re_percent
1%,2.523%
2%,3.750%
3%,6.117%
4%,9.583%
5%,12.047%
6%,14.827%
7%,18.357%
8%,20.307%
9%,22.613%
10%,24.260%
11%,25.547%
12%,27.147%
13%,29.143%
14%,30.977%
15%,32.337%
16%,33.910%
17%,35.320%
18%,36.930%
19%,38.220%
20%,40.520%
21%,42.027%
22%,42.833%
23%,44.080%
24%,45.750%
25%,45.963%
26%,46.780%
27%,47.120%
28%,48.017%
29%,48.620%
30%,49.027%
31%,49.527%
32%,49.873%
33%,50.733%
34%,51.580%
35%,51.900%
36%,52.390%
37%,52.390%
38%,52.997%
39%,54.153%
40%,54.710%
41%,55.250%
42%,55.420%
43%,55.720%
44%,55.897%
45%,56.117%
46%,56.877%
47%,56.957%
48%,57.130%
49%,57.327%
50%,57.513%
51%,57.603%
52%,58.140%
53%,58.417%
54%,58.607%
55%,58.823%
56%,59.367%
57%,59.553%
58%,59.890%
59%,60.083%
60%,60.190%
61%,60.293%
62%,60.787%
63%,60.903%
64%,61.117%
65%,61.437%
66%,61.563%
67%,61.563%
68%,61.993%
69%,62.197%
70%,62.197%
71%,62.197%
72%,62.313%
73%,62.313%
74%,63.030%
75%,63.117%
76%,63.117%
77%,63.203%
78%,63.317%
79%,63.610%
80%,63.707%
81%,63.707%
82%,63.897%
83%,63.987%
84%,64.253%
85%,64.870%
86%,64.870%
87%,64.963%
88%,65.257%
89%,65.587%
90%,65.587%
91%,65.587%
92%,65.877%
93%,66.060%
94%,66.170%
95%,66.537%
96%,66.750%
97%,66.750%
98%,66.933%
99%,67.030%
100%,100.000%
